Time,Latitude,Longitude,
2019-11-24-11-01,33.81831825,130.7011158,
2019-11-24-11-02,33.81832939,130.7013545,
2019-11-24-11-03,33.81833385,130.7014269,
2019-11-24-11-04,33.81824249,130.7014269,
2019-11-24-11-05,33.81816672,130.7014242,
2019-11-24-11-06,33.81809541,130.7014269,
2019-11-24-11-07,33.81800405,130.7014376,
2019-11-24-11-08,33.81796839,130.7015315,
2019-11-24-11-11,33.81777452,130.7014108,
2019-11-24-11-12,33.81776561,130.7013974,
2019-11-24-11-16,33.81770321,130.7013062,
2019-11-24-11-17,33.81769653,130.7012928,
2019-11-24-11-18,33.81766756,130.7012606,
2019-11-24-11-19,33.81763413,130.7012231,
2019-11-24-11-21,33.81759848,130.7011989,
2019-11-24-11-22,33.81759848,130.7011989,
2019-11-24-11-24,33.81753831,130.7011319,
2019-11-24-11-25,33.81748483,130.7010809,
2019-11-24-11-26,33.81748483,130.7010809,
2019-11-24-11-27,33.81751825,130.7009897,
2019-11-24-11-28,33.81754277,130.7009119,
2019-11-24-11-29,33.81758065,130.7008073,
2019-11-24-11-30,33.81762522,130.7006786,
2019-11-24-11-31,33.81767201,130.7005498,
2019-11-24-11-32,33.81767201,130.7005498,
2019-11-24-11-33,33.81771658,130.7004238,
2019-11-24-11-34,33.81776338,130.7002655,
2019-11-24-11-35,33.81781018,130.7001502,
2019-11-24-11-36,33.81783692,130.7000107,
2019-11-24-11-37,33.81783692,130.7000107,
2019-11-24-11-38,33.81783692,130.7000107,
2019-11-24-11-39,33.81775447,130.6999812,
2019-11-24-11-40,33.81773218,130.6998444,
2019-11-24-11-41,33.81772995,130.6996888,
2019-11-24-11-42,33.81772104,130.6995628,
2019-11-24-11-43,33.81771881,130.6994796,
